Location,Y_Coordinate,X_Coordinate
CRISP ELECTRIC MAINT INC,-82.78779122381862,27.943395559805698
SUNOCO SERVICE STATION,-82.72908909694377,27.98290437646223
7-ELEVEN STORE #27080,-82.75313224261946,27.96089581477713
LEE SISSON LURES INC,-81.79653619038668,28.06176433426666
MCGEE AUTO SERVICE & TIRE,-81.73142664139598,28.00371332168684
ALMEGA ENTERPRISES INC,-81.8902343824581,28.007329457506366
KISSIMMEE UTILITY AUTHORITY,-81.41823956031784,28.33098913094104
MOTOR PARTS,-81.97573129306859,27.894600733618784
SATURN OF LAKELAND,-81.97586610290945,28.054122661375214
BUDGET AUTO PARTS,-81.80847641518757,28.0509608594952
ECONO AUTO PAINTING,-81.98447916136047,28.05423366142751
SHRED-IT,-81.60837629240856,30.260430031859677
CIRCLE K #4015,-82.820172758884,27.851308730720866
CIRCLE K #7101,-82.745169738287,27.901112022326892
CIRCLE K STORE #4917,-82.72823342659939,27.84675192621627
CIRCLE K #4007,-82.70844642586606,28.014144412354124
CIRCLE K #4618,-82.77129136043608,28.022857190768395
SEARS SERVICE CENTER,-82.75487090474773,27.813870334940177
BROWNS AUTOMOTIVE INC,-82.63815542632992,27.78736935858776
BRADSON SUPPLY INC,-82.68107671703517,27.80878808486384
FOTOMAT CORP,-82.64629423327851,27.773800243932417
SPA MANUFACTURERS INC,-82.71896775796013,27.892313854122175
SIGN INSTALLATION & SERVICE INC,-82.71268703490057,27.915049860092434
COMMERCIAL TANK LINES,-81.98493457307525,27.901479374310192
AUBURNDALE SELF STORAGE,-81.8248047528377,28.033800493145076
GOODYEAR AUTO SERVICE CENTER,-81.58723054083326,27.893246603441536
BOBS AUTO & MUFFLER SHOP,-81.62264372423574,28.106426460318573
WESTERN AUTO,-81.95763154132227,28.004503677409243
KEY BROTHERS RADIATORS,-81.90709363830263,28.023554155631114
CUMBERLAND FARMS #1069,-81.978384909751,28.065241137454024
LAXMI TWO LLC,-81.78003743219337,27.958077170463827
HOODS AUTOMOTIVE CENTER,-81.95669106862944,28.006614983380842
CUMBERLAND FARMS #1081,-81.88119368411151,27.967722365443674
CUMBERLAND FARMS #1005,-81.97748465473845,27.89461956702525
CUMBERLAND FARMS #1068,-81.58907579188033,27.914048219841032
GREENWOOD CHEVROLET OLDS,-81.80194098779235,27.754602536709108
CENTRAL FLORIDA DRUM INC,-81.72748966779797,27.988610845592305
CENTRAL PONTIAC BUICK GMC INC,-81.72719116883663,28.006363572271805
PEACE RIVER PACKING CO,-81.80523807239771,27.751012702430547
KELLEY BUICK GMC,-81.84513597717482,27.903449072184223
ROSE MARIE HORNER,-81.8284178331846,27.88514170725125
HILL OLDSMOBILE NISSAN INC,-81.73397753199556,28.01638840781177
BRANDIS AIRCRAFT TOM MILLER INTERIOR,-82.02435308789704,27.99375192381786
STAR ENTERPRISE,-81.64998937063096,28.08043067538298
GRAHAM PACKAGING COMPANY LP,-82.05525718156929,28.029422903655735
"FIVE STAR GAS & FOOD, INC.",-81.99401046974654,28.054393633864596
